"flywire.id","treenode_id","connector_id","prepost","x","y","z","transmitter","cell.type","ItoLee.Hemilineage","ItoLee.Lineage","Hartenstein.Hemilineage","Hartenstein.Lineage","uid","tracer","group","dataset"
"720575940618610566","unknown","unknown",0,"117729","27195",3886,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"115094","27557",4057,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"117671","27346",3886,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"139648","27172",3279,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"125943","25236",3340,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"124083","27486",3542,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"141622","28366",3472,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"111671","28074",4200,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"145848","26952",3485,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"114872","27793",4082,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618610566","unknown","unknown",0,"134260","27101",2809,"glutamate","DN1pA","unknown","unknown","unknown","unknown",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"89163","62475",2541,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94048","47405",2878,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93975","54966",2384,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"97784","54899",2071,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92976","53486",2446,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92570","66591",3484,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94384","61932",2267,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"89980","58216",2333,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"95658","55527",2078,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"99216","59604",1998,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"97494","43055",3078,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96779","62398",3464,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"91085","55815",2210,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93816","55543",3172,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"100810","59903",2136,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93859","56134",2188,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96510","61854",2483,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94138","58180",2899,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"100812","64352",2280,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"97935","60260",2022,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"99725","59789",1842,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"99980","59786",2313,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96468","63608",2070,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"99182","60672",2235,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"90290","58240",2048,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96938","61917",1992,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96324","48900",2370,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"97895","57091",1900,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"99466","63091",1879,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"98143","59159",2086,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96202","60285",2603,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"98401","61300",2310,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93403","63918",2331,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94800","67021",3560,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94696","62922",2298,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94435","45036",3118,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96728","63143",2250,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"88409","56087",2303,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"99569","66252",2400,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"91487","57385",2145,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"90890","56947",2518,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92073","59748",1966,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93796","59652",2067,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"97465","63768",3002,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"96530","44794",3034,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92806","66635",3426,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"95616","65056",3767,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92762","53846",2650,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93856","64935",2113,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"90294","59198",2050,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"100412","60109",2075,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"97030","54849",2016,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93314","58505",2413,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94219","65297",2745,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"98237","61858",1689,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"98351","58352",2034,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92834","52971",2349,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"101246","62061",2270,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"95106","64062",2359,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"90378","59878",2865,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"91190","59910",2485,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"93371","59301",2720,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"89775","60374",2498,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94957","68030",3698,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"91614","61074",2182,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"95345","62204",2749,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"100642","69012",3629,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"92540","56904",2089,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94451","62129",2171,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"90575","64622",3358,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
"720575940618379355","unknown","unknown",0,"94814","65280",2160,"serotonin","5-HTPLP01","VLPp1","VLPp1","VLPp1","VLPp1",283,"Imaan Tamimi","Jefferis","flywire"
