flywire.id,treenode_id,connector_id,prepost,fw.x,fw.y,fw.z,x,y,z,inside,transmitter,cell.type,ItoLee.Hemilineage,ItoLee.Lineage,Hartenstein.Hemilineage,Hartenstein.Lineage,uid,tracer,group,dataset
720575940618610566,unknown,unknown,0,145848,26895,3511,584010,108366,140440,SMP_L,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,125810,25276,3342,502911,101421,133680,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,125498,25640,3445,501023,102522,137800,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,118900,26838,3881,474838,107533,155240,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,117729,27195,3886,470373,108973,155440,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,115094,27557,4057,459232,110719,162280,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,117671,27346,3886,470159,109562,155440,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,139648,27172,3279,559428,108415,131160,SMP_L,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,125943,25236,3340,503418,101309,133600,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,124083,27486,3542,496372,110108,141680,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,141622,28366,3472,566994,113722,138880,SMP_L,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,111671,28074,4200,445464,110646,168000,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,145848,26952,3485,583765,108613,139400,SMP_L,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,114872,27793,4082,458351,111650,163280,SMP_R,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940618610566,unknown,unknown,0,134260,27101,2809,537849,108521,112360,SMP_L,glutamate,DN1pA,unknown,unknown,unknown,unknown,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,89163,62475,2541,356791,250741,101640,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94048,47405,2878,375422,188548,115120,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93975,54966,2384,375438,219632,95360,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,97784,54899,2071,390737,219268,82840,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92976,53486,2446,370805,213984,97840,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92570,66591,3484,371223,266034,139360,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94384,61932,2267,377626,247784,90680,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,89980,58216,2333,359941,232598,93320,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,95658,55527,2078,382129,221887,83120,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,99216,59604,1998,396980,238742,79920,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,97494,43055,3078,389810,171587,123120,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96779,62398,3464,387453,249360,138560,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,91085,55815,2210,364036,223233,88400,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93816,55543,3172,375424,221432,126880,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,100810,59903,2136,403373,239455,85440,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93859,56134,2188,375326,224466,87520,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96510,61854,2483,385080,248260,99320,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94138,58180,2899,376089,232200,115960,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,100812,64352,2280,404224,257349,91200,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,97935,60260,2022,391707,241127,80880,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,99725,59789,1842,399363,238925,73680,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,99980,59786,2313,400137,238747,92520,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96468,63608,2070,385567,254426,82800,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,99182,60672,2235,396441,242403,89400,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,90290,58240,2048,360109,232673,81920,unknown,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96938,61917,1992,387690,247956,79680,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96324,48900,2370,385111,195244,94800,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,97895,57091,1900,391855,228270,76000,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,99466,63091,1879,398375,252349,75160,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,98143,59159,2086,392376,236450,83440,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96202,60285,2603,384960,241730,104120,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,98401,61300,2310,393909,244684,92400,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93403,63918,2331,373601,255242,93240,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94800,67021,3560,380112,268236,142400,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94696,62922,2298,379067,251551,91920,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94435,45036,3118,377597,179641,124720,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96728,63143,2250,386835,252488,90000,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,88409,56087,2303,353464,224292,92120,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,99569,66252,2400,398003,264736,96000,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
